symbol,price,pe,pb,market_cap,dma50,dma200,close,roe,growth,alpha
NBCC,0,25,3,0,90.55211853027343,105.52269134521484,94.31999969482422,18,15,8.139999999999999
LODHA,0,25,3,0,912.3480053710938,1116.3685064697265,872.5499877929688,18,15,8.139999999999999
CLSEL,0,25,3,0,255.68539978027343,275.25560745239255,285.3599853515625,18,15,8.139999999999999
BDL,0,25,3,0,1277.5514916992188,1484.5340515136718,1380.699951171875,18,15,8.139999999999999
ESCORTS,0,25,3,0,3291.478486328125,3504.1660778808596,3295.0,18,15,8.139999999999999
GAIL,0,25,3,0,154.9478140258789,167.11271553039552,157.82000732421875,18,15,8.139999999999999
POLICYBZR,0,25,3,0,1488.622001953125,1714.9215045166015,1600.5999755859375,18,15,8.139999999999999
GODREJPROP,0,25,3,0,1686.967998046875,1981.5285052490235,1758.800048828125,18,15,8.139999999999999
ZAGGLE,0,25,3,0,241.60240234375,335.9345994567871,260.8800048828125,18,15,8.139999999999999
DALBHARAT,0,25,3,0,1971.4959936523437,2127.9352264404297,1971.699951171875,18,15,8.139999999999999
APOLLOTYRE,0,25,3,0,447.71136779785155,475.08541717529295,445.3999938964844,18,15,8.139999999999999
DLF,0,25,3,0,588.3729974365234,705.4443940734864,601.75,18,15,8.139999999999999
KRBL,0,25,3,0,331.0800006103516,377.13031845092775,351.04998779296875,18,15,8.139999999999999
DIVISLAB,0,25,3,0,6155.82,6318.253930664063,6229.0,18,15,8.139999999999999
RAMASTEEL,0,25,3,0,6.208799977302551,9.223499964475632,5.920000076293945,18,15,8.139999999999999
IRCON,0,25,3,0,139.2955743408203,162.37332862854004,154.69000244140625,18,15,8.139999999999999
HDFCLIFE,0,25,3,0,662.2700012207031,736.8192474365235,616.4500122070312,18,15,8.139999999999999
LEMONTREE,0,25,3,0,114.94799987792969,146.53045001983642,114.55000305175781,18,15,8.139999999999999
PAYTM,0,25,3,0,1094.2179956054688,1178.9667489624023,1161.6500244140625,18,15,8.139999999999999
ICICIPRULI,0,25,3,0,599.2320001220703,619.9767497253418,562.0,18,15,8.139999999999999
IEX,0,25,3,0,124.04186508178711,140.59512348175048,135.80999755859375,18,15,8.139999999999999
RENUKA,0,25,3,0,25.250999946594238,28.028200006484987,28.170000076293945,18,15,8.139999999999999
ACC,0,25,3,0,1501.107998046875,1748.2219970703125,1432.199951171875,18,15,8.139999999999999
IRCTC,0,25,3,0,566.3308453369141,666.4070082092285,564.9000244140625,18,15,8.139999999999999
HINDPETRO,0,25,3,0,396.27699890136716,424.93494598388673,370.8500061035156,18,15,8.139999999999999
JKIL,0,25,3,0,511.3970007324219,600.8396716308594,519.25,18,15,8.139999999999999
CYIENT,0,25,3,0,927.9969970703125,1114.5316815185547,962.2999877929688,18,15,8.139999999999999
PRAJIND,0,25,3,0,316.8190008544922,360.16888824462893,350.8999938964844,18,15,8.139999999999999
GUJGASLTD,0,25,3,0,376.0009991455078,412.3240577697754,362.79998779296875,18,15,8.139999999999999
PCBL,0,25,3,0,278.94320098876955,334.49400901794434,285.4100036621094,18,15,8.139999999999999
